#ÖÖÀà	ÅÅÎ»	ÊýÖµ	ÎÄ±¾
#´¬ ×´Ì¬			
4	43	120	ÂøÇÑ »ç¶÷
4	121	128	ÂøÇÔ ±× ÀÚÃ¼
#µÎ³úÈ¸Àü			
5	-128	-120	¸Ó¸®°¡ ³ª»ÛÁöµµ
5	-119	-43	ÀÐ°í ¾²´Â °Í Á¤µµ´Â ÇÑ´Ù
5	-42	0	¾Ï»êÀÌ ¼­Åõ¸§
5	1	42	¾Ë°Å ´Ù ¾Æ´Â
5	43	120	¶È¶ÈÇÔ
5	121	128	ÃµÀçÃâÇö
#PCÈ£°¨µµ			
6	-128	-120	Á¤¸» ½È¾î
6	-119	-43	¸» °ÉÁö ¸»¾ÆÁà
6	-42	0	ÁÁÁöµµ ½ÈÁöµµ ¾Ê¾Æ
6	1	42	½ÈÁö ¾Ê¾Æ
6	43	120	Ä£ÇÑ Ä£±¸
6	121	128	³Ê¹« ÁÁ¾Æ
#Ã¼³»½Ã°è ÀÏ¾î³ª¼­ Àß ¶§±îÁö ¸î%Â°ÀÎ°¡.			
7	0	20	¾Æ~Àß Àä´Ù.
7	21	40	Âî»ÑµÕ~
7	41	60	È°µ¿ Áß
7	61	80	ÇÇ°ïÇÔ
7	81	100	¾Æ~Á¹·Á.
#·£´ý	Ç¥½ÃµÇ´Â È®·ü		
8	5	1	¹° ¿Âµµ°¡ Àû´çÇØ Äí³É
8	5	1	¾ÆÇÏÇÏ~ + ¤± +
8	5	1	µîÀÌ °¡·Á¿ö Äí³É - ¤µ - 
8	5	1	¼ÕÅéÀ» ³Ê¹« ¹Ù½Ï ±ð¾Ò¾î Äí³É.
8	5	1	ÀúÇ÷¾Ð ~  - _  - 
8	5	1	»õ³¢ ¹ß°¡¶ôÀ» ºÎµúÇû¾î ¾ÆÆÄ Äí³É. 
8	5	1	¹ÙÂ¦ ¸¶¸¥ ´À³¦..ÈÄ..
8	5	1	ÀÏ Áßµ¶
8	5	1	¹Ì¿­ ÀÖÀ½. ¤Ð¤±¤Ð*
8	5	1	¸ðÅ¥~ + ¤µ +
8	5	1	¹«Å¥~ + ¤± + 
8	5	1	´ºÅ¥~ = ¤µ =
8	5	1	·ê·ç·ç~ + ¤µ + 
8	5	1	·²·¯·¯~ + ¤± +
8	5	1	ºÎ·Ñ·Ñ·Ñ·Î~ + _ +
8	5	1	ÆÄ´º + ¤· +
8	5	1	¸ð°Ô~ + ¤± +
8	5	1	°í°Ô~  
8	5	1	Áñ°Å¿ö ?
8	5	1	½Å¹Ù¶÷
8	5	1	µÎ±ÙµÎ±Ù ¢¾ _ ¢¾ 
8	5	1	ÈÄÈÄ ^ _ ^ 
8	5	1	¿ìÈÄÈÄ ^ ¤± ^
8	5	1	¾ÆÇÏÇÏ ^ - ^*
8	5	1	¹ÇÈå¹ÇÈå *= _ =*
8	5	1	ÅÍ¹÷ÅÍ¹÷ - ¤µ -
8	1	1	¿¡·Î¿¡·Î ´ëÀå ~ ¢¾ _ ¢¾
8	5	1	ÇÇ·Î°¡ ½×¿´¾î Äí³É ¤Ð _ ¤Ð
8	5	1	ÀÎ»ý ¹¹ ÀÖ³ª~ - ¤± - 
8	5	1	¾î¸¥ÀÌÀÝ¾Æ !! 
8	5	1	ÁÁ¾Æ£¿¢¾ _ ¢¾
8	5	1	ÇÒ ¼ö ÀÖÀ»±î£¿
8	5	1	ÀÌ°É·Î µÈ °Ç°¡£¿
8	5	1	º¯½ÅÈñ¸Á~
8	5	1	¹¹, ±×·± ´À³¦À¸·Î.
8	5	1	ÃµÃµÇØ, ´À±ßÇÏ°Ô.
8	5	1	À¯À¯ÀÚÀû~ 
8	5	2	Á¶±Ý ÁøÇØÁ³´Ù.
8	5	2	¾ß¾Æ£¡
8	5	2	¹°ÄÈ¹°ÄÈÇØ Äí³É.
8	5	2	Æø½ÅÆø½ÅÇØ Äí³É.
8	5	2	µÎ¸®¹ø µÎ¸®¹ø
8	5	2	±ÙÀ°Áú¸ö¸Å
8	5	2	¶×¶×ÇÑ ¸ö¸Å - ¤± - 
8	5	2	´ÙÀÌ¾îÆ® °á½É Äí³É!
8	5	2	»öÀÌ ÁøÇÏ³×
8	5	2	¿ìÈÄ¿ìÈÄ¿ìÈÄ + ¤µ + 
8	5	2	ÅÐÀÌ ¸¹¾Æ. = ¤µ =  
8	5	2	Á¤°­ÀÌ¸¦ ¿ÊÀå¿¡ ºÎµúÇû¾î ¾ÆÆÄ Äí³É.
8	5	2	°£½Ä ¸Å´Ï¾Æ~
8	5	2	¸ÔÀÌÅë¿¡ ¸Ó¸®¸¦ ºÎµúÇû¾î ¾ÆÆÄ Äí³É.
8	5	2	»ê¼Ò°¡ ÁÁ¾Æ + ¤µ + 
8	5	2	°úÇÐÀû
8	5	2	¿­Ç÷
8	5	2	³ÃÇ÷
8	5	2	ºóÇ÷
8	5	2	°íÇ÷¾Ð
8	5	2	ÈìÈì~
8	1	2	¿¡·Î¿¡·Î ¼ºÀÎ~ ¢¾ _ ¢¾
8	5	4	¸ðÇèÀÌ ÁÁ¾Æ Äí³É!
8	5	4	µ¶¼­°¡ ÁÁ¾Æ Äí³É!
8	5	4	¸¶½ÃÀÚ~ Äí Äí³É!
8	5	4	¾îµð °¡·Á¿î °÷Àº£¿ ^ - ^ 
8	5	4	¿©±â¼­¸¸ ÇÏ´Â ÀÌ¾ß±â. = ¤± = 
8	5	4	Å»·Â
8	5	4	ÁýÁß ÁýÁß
8	5	4	Ä£±¸°¡ µµ¸Á°¬¾î ½½ÆÛ Äí³É
8	5	4	¸¶¸¥ Ã¼ÇüÀÌ ÁÁ¾Æ~ Äí³É
8	5	4	ÅëÅëÇÑ ³ª¸§´ë·Î ÁÁ¾Æ Äí³É.
8	5	4	Çì¾öÄ¡°í ½Í¾î Äí³É~
8	5	4	¹Ù´Ù°¡ ÁÁ¾Æ Äí³É
8	5	4	»ê¿¡ °¡°í ½Í¾î Äí³É
8	5	4	¹Ù¶÷ ½ý°í ½Í¾î Äí³É
8	5	4	Ãß¸®Áß..- _ -+
8	5	4	³ª¹« ¹Ø¿¡¼­ ÇÞ»ìÀ» ÂØ¸ç ÀÚ°í ½Í¾î
8	5	4	Ç®Á×À½ = _ = 
8	5	4	È­³µÀ½!! Äí³É Äí³É!!
8	5	4	Á¶¹°¶ô Á¶¹°¶ô~ =¤µ=*
8	5	4	µß±¼µß±¼ (_ - _
8	5	4	ÈçµéÈçµé  = ¤µ = 
8	5	4	¸ñ¿åÀÌ ÁÁ¾Æ ~ 
8	5	4	¿ÜÃâÇÏ°í ½Í¾î
8	5	4	µ· ¸Ô´Â ¹ú·¹´Ù Äí³É ! 
8	5	4	Èå´ÃÈå´Ã ~(= ¤µ = 
8	5	4	½Î¿ì°í ½Í¾î 
8	5	4	°­ÇÏ´Ù±¸£¿
8	5	4	¾àÇÒÁöµµ..
8	5	4	Ã¼·Â½ÂºÎ
8	5	4	µÎ³ú¸¦ ¸»ÇÑ´Ù.
8	5	4	½ºÆÄÅ©
8	5	4	»þÀÌ´×
8	5	4	°ñµç
8	5	4	ÆÄ¿öµå
8	5	4	µ¨¸®¼Å½º
8	5	4	°¡²ûÀº ³¯ ºÒ·¯Áà.
8	5	4	È°µ¿Àû
8	5	4	¼­¹ÙÀÌ¹ú
8	5	4	Àáº¹Áß
8	5	4	Ã¼½ºÅä~£¡
8	5	4	¿ì·ª£¡
8	1	4	¿¡·Î¿¡·Î ´ëÁ¦
8	5	6	Á¤Àû
8	5	6	±âÇ°
8	5	6	°í¾ç
8	5	6	¾ï¾ç
8	5	6	¹Ì·¡
8	5	6	ÇÔÀ¯
8	5	6	¿ì¾Ö
8	5	6	³ÃÃ¶
8	5	6	½Å¼º
8	5	6	Çâ¼ö
8	5	6	°è½Ã
8	5	6	¿©¸í
8	5	6	¸íº¸
8	5	6	¹¦¶ô
8	5	6	À¯¶÷
8	5	6	¿ìÈ£
8	5	6	Ç°¼º
8	5	6	Æ÷¶õ
8	5	6	ÇÞºû
8	5	6	¾îµÒ
8	5	6	½Å¶ö
8	5	6	±º½Å
8	5	6	¿ëÀ¶
8	5	6	ÀÏ¿ù
#¶°³¯ ¶§ ´ë»ç	£¨±æ¸ó »çÀÌÁî£©		¿¡½ºÄÉÀÌÇÁ Ä«¿îÆ®¿¡ µû¶ó, µµ¸Á°¥ ¶§¿¡ °Ô½ÃÆÇ¿¡ Àû´Â ´ë»ç
9	1	0	¹è°¡ °íÆÄ¼­ µµ¸Á°¥Äí³É.
9	1	0	±¾¾î Á×À» °Í °°¾Æ¼­ µµ¸Á°¥Äí³É.
9	1	0	¹è°íÆÄ~ Å»Ãâ³ÉÇÒÄí³É.
9	1	0	±¾ÁÖ¸² ¾ø´Â ´ëÁö¸¦ Ã£¾Æ°¥Äí³É!
9	2	0	¹è°íÇÄÀ» °ßµô ¼ö ¾ø¾î Äí³É. ¾È³ç.
9	2	0	¾È³ç. ´ç½Å¿¡°Ô ¹ÞÀº È¤µ¶ÇÑ ´ë¿ì´Â ÀØÁö ¾Ê°Ú¾î Äí³É~.
9	2	0	µÎ ¹ø ´Ù½Ã ¸¸³¯ ÀÏÀº ¾ø°ÚÁö Äí³É. ¾È³ç.
9	2	0	Äí³É~ ÁÖÀÎÀ¸·Î¼­ Ã¥ÀÓ°¨ ¾ø´Â ³ð. Àß ÀÖ¾î¶ó.
9	4	0	½º½º·ÎÀÇ ÈûÀ¸·Î »ì°Ú¾î. Àß ÀÖ¾î¶ó.
9	4	0	¹è°íÆÄ. »ç³ÉÇÏ·¯ °£´Ù. ¾È µ¹¾Æ¿Ã °Å¾ß.
9	4	0	È¤µ¶ÇÑ Ãë±Þ¿¡ °ßµô ¼ö ¾ø½À´Ï´Ù. µµ¸Á°¡°Ú¾î¿ä.
9	4	0	¹äÀ» ¾ÈÁÖ´Â ±æµå¿¡´Â º¼ÀÏÀÌ ¾ø¾î¿ä. ¾È³ç.
9	6	0	¾È³ç. ¾î¸®¼®Àº ±æµå¿øÀÌ¿©.
9	6	0	ÀÌÁ¨ ¸¸³¯ ÀÏµµ ¾ø°ÚÁö¿ä. ¸÷¾µ ±æµå¿´½À´Ï´Ù.
9	6	0	´ç½ÅµéÀº ¸÷¾µ »ç¶÷µéÀÌ¾ú¾î¿ä.
9	6	0	¾È³ç. ¾î¸®¼®Àº »ç¶÷µé.
#À¯¾ð			¼ö¸íÀ» ´ÙÇßÀ» ¶§ °Ô½ÃÆÇ¿¡ Àû´Â ´ë»ç
10	0	0	¾È³ç. ´ç½Åµé ±æµå¿¡ Çà¿îÀ».
10	0	0	¾È³ç. ¶Ç ¾ðÁ¨°¡ ´ÙÀ½ Â÷¿ø¿¡¼­.
10	0	0	¾È³ç. ´ç½Åµé¿¡°Ô Çà¿îÀ».
10	0	0	¾È³ç. Çà¿îÀÇ ¹Ù¶÷ÀÌ ¸ðµÎ¿¡°Ô.
10	0	0	¾È³çÈ÷. ±×´ëµé¿¡°Ô Çà¿îÀÌ ÀÖ±â¸¦.
10	0	0	¾È³çÈ÷. ³» ±æµ¿¹«µéÀÌ¿©.
10	0	0	¾çºÎ¸ð´Ô ¼ö°íÇÏ¼Ì½À´Ï´Ù. ¾ðÁ¨°¡ ´Ù½Ã ¸¸³¯ ÀÏµµ ÀÖ°ÚÁö¿ä.
10	0	0	±×·³ ¶Ç º¸ÀÚ±¸.
#´ë¿Õ»ýÇÑ °æ¿ìÀÇ ´ë»ç´Â ÆÐ½º¿öµå·Î¼­ ÀÌº¥Æ®ÀÇ µ¿±â°¡ µÈ´Ù.			
#Å¹¶õ°ü			
11	0	0	¹æÀº Æó¼âÇÕ´Ï´Ù.
#20040806ÀÌÈÄ Ãß°¡ºÐ.£¨»ó¿ë¿¡ÀÇ Ãß°¡´Â »óÈ²À» º» ÈÄ£©			
#¶°³¯ ¶§ ´ë»ç	£¨±æ¸ó »çÀÌÁî£©		¼ºÀå ¸øÇÏ°í µµ¸Á°¥ ¶§ °Ô½ÃÆÇ¿¡ Àû´Â ´ë»ç
12	1	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» Á»´õ ¸Ô°í ½Í¾ú¾î Äí³É.
12	1	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¸Ô¿©ÁÖÁö ¾Ê¾Ò¾î Å¥³É.
12	1	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸¹ÀÌ ÁÖ´Â °÷À¸·Î °¥Äí³É.
12	1	0	Á»´õ ÁÁÀº °É ¸Ô°í ½Í¾ú¾î Äí³É.
12	2	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¾ÈÁÖ´Â °Ç ½È¾î Äí³É.
12	2	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» Á»´õ ¸¹ÀÌ ¸Ô°í ½Í¾ú¾î Äí³É.
12	2	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¸¹ÀÌ ¸ÔÀ» ¼ö ÀÖ´Â °÷À» Ã£¾Æ°¥Äí³É.
12	2	0	¾î¸®±¤ºÎ¸®°í ½Í¾ú¾î Äí³É~
12	4	0	ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ~
12	4	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸Ô°í ½Í¾ú¾î~
12	4	0	½Ä¼º Á» ¸ÂÃçÁà~ !!
12	4	0	ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸Ô°í ½Í¾ú´Ù±¸~
12	6	0	¿µ¾çÀÌ ºÎÁ·ÇØ.
12	6	0	¾çºÐÀÌ ºÎÁ·ÇØ.
12	6	0	ÇÊ¼ö ¿µ¾çºÐÀÌ ºÎÁ·ÇØ.
12	6	0	¾ËÀ» ³º±â¿¡ ¾çºÐÀÌ ºÎÁ·ÇØ.
#¿¡½ºÄÉÀÌÇÁ	£¨±æ¸ó »çÀÌÁî£©		¿¡½ºÄÉÀÌÇÁ Ä«¿îÆ®£¨£¥¿¡ ÀÇÇÑ °Í£©µµ¸ÁÄ¡°í ½Í¾îÇÏ´Â »óÅÂ¸¦ Ç¥½Ã
13	10	1	ÀÖ±â ÆíÇØ Äí³É
13	40	1	°¡²û ±¾ÁÖ·Á Äí³É
13	60	1	ÀÚÁÖ ±¾ÁÖ·Á Äí³É
13	80	1	¹è°íÇÂ ³¯ÀÌ ¸¹¾Æ¼­ µµ¸ÁÄ¡°í ½Í¾î Å¥³É£¡
13	100	1	µµ¸ÁÄ¡°í ½Í¾î£¡¹äÀ» ¾ÈÁÙ ¶§°¡ ³Ê¹« ¸¹¾Æ£¡
13	10	2	ÀÖ±â ÆíÇØ Äí³É
13	40	2	°¡²û ±¾ÁÖ·Á Äí³É
13	60	2	¹äÀ» ¾ÈÁÙ ¶§°¡ ¸¹¾Æ. µµ¸ÁÄ¡°í ½Í¾î.
13	80	2	Á¤¸» µµ¸ÁÄ¡°í ½Í¾î. ¹äÀ» ¾È ÁÙ ¶§°¡ ¸¹¾Æ£¡
13	100	2	¹äÀ» ´õ ¾ÈÁÖ¸é µµ¸ÁÄ¥ °Å¾ß~ Äí³É£¡
13	10	4	¸±·¢½º
13	40	4	°¡²û ¹è°íÆÄ.
13	60	4	ÀÚÁÖ ¹è°¡ °íÆÄ.
13	80	4	Ç×»ó ¹è°¡ °íÆÄ¼­ µµ¸ÁÄ¡°í ½Í¾î£¡
13	100	4	µµ¸ÁÄ¥·¡£¡Ç×»ó ¹è°¡ °íÆÄ£¡
13	10	6	È£°¨
13	40	6	ºÒ¸¸
13	60	6	¹Ý°¨
13	80	6	Çø¿À
13	100	6	Àý±³
#µµ¸ÁÄ¡°í ½Í´Ù	£¨±æ¸ó »çÀÌÁî£©		¼ºÀå ¸øÇÏ°í µµ¸ÁÄ¥ °Í °°À» ¶§ ÇÏ´Â ´ë»ç¡¡µµ¸ÁÇÑ°è£±£°£¥ÀüºÎÅÍ.
14	7	1	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¸ø ¸ÔÀ¸¸é ÀÚ¶óÁö ¾Ê¾Æ~Äí³É ! µµ¸Á°¥ °Å¾ß£¡
14	7	1	Á»´õ ÁÁ¾ÆÇÏ´Â °ÍÀ» Áà~£¡µµ¸Á°¥ °Å¾ß~ Äí³É£¡
14	7	1	ÀÌ´ë·Î´Â ¼ºÀåÇÒ ¼ö ¾ø´Ù±¸~ Äí³É£¡µµ¸Á°¡°í ½Í¾î~£¡
14	7	1	¼ºÀåÇÏ·Á¸é ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸Ô¾î¾ß ÇØ~£¡µµ¸Á°¥ °Å¾ß~£¡
14	7	2	¼ºÀåÇÏ±â¿¡ ¿µ¾çÀÌ ºÎÁ·ÇØ~ Äí³É£¡¸Ô°í ½ÍÀº °É Áà~ 
14	7	2	¿µ¾çÀÌ ºÎÁ·ÇØ£¡µµ¸Á°¥ °Å¾ß Äí³É£¡
14	7	2	ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¾ÈÁÖ¸é µµ¸Á°¥ °Å¾ß~ Äí³É£¡
14	7	2	µµ¸Á°¥·¡ Äí³É£¡ÁÁ¾ÆÇÏ´Â °ÍÀ» ¾ÈÁÖ¸é µµ¸Á°¥ °Å¾ß£¡
14	7	4	¸Ô°í ½ÍÀº °É ¾ÈÁÖ¸é ¼ºÀåÇÒ ¼ö ¾ø¾î£¡µµ¸Á°¥ °Å¾ß£¡
14	7	4	¼ºÀåÇÏÁö ¸øÇÏ¸é µµ¸Á°¥ °Å¾ß£¡
14	7	4	¼ºÀåÇÏ´Â µ¥´Â ÁÁ¾ÆÇÏ´Â °ÍÀÌ ÇÊ¿äÇØ£¡
14	7	4	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¾È ¸ÔÀ¸¸é Å»ÁÖÇÒ°Å¾ß£¡
14	7	6	¾ËÀ» ³º±â À§ÇØ ¸Ô¾î¾ß ÇÒ ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ. Çì¾îÁöÁö ¾ÊÀ¸¸é ¾ÈµÇ°Ú¾î.
14	7	6	ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ¼­ ¾ËÀ» ³ºÀ» ¼ö ¾ø¾î. µµ¸ÁÀ» »ý°¢ÁßÀÌ¾ß.
14	7	6	¾ËÀ» ³º±â À§ÇØ¼± ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸Ô¾î¾ß µÅ. ¿©ÇàÀ» ¶°³ª¾ß°Ú¾î.
14	7	6	ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ. Çì¾îÁöÁö ¾ÊÀ¸¸é ¾ÈµÇ°Ú¾î.
#¿µ¾çÀÌ ºÎÁ·ÇÏ´Ù	£¨±æ¸ó »çÀÌÁî£©		¼ºÀå ¸øÇÏ°í µµ¸ÁÄ¥  °Í °°À» ¶§ ÇÏ´Â ´ë»ç¡¡¼ºÀå°¡´ÉÀÏ¼öºÎÅÍ
15	7	1	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¸ø ¸ÔÀ¸¸é ¿µ¾çÀÌ Á» ºÎÁ·ÇØ.Äí³É~
15	7	1	ÁÁ¾ÆÇÏ´Â °ÍÀ» Á» ´õ ¸Ô°í ½Í¾î. Äí³É
15	7	1	ÀÌ´ë·Î´Â ¼ºÀåÇÒ ¼ö ¾ø¾î. Äí³É
15	7	1	Äí³É~ ¼ºÀåÇÏ·Á¸é ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸Ô¾î¾ß ÇØ~
15	7	2	ÇÑÂü ¼ºÀå ÇÒ ¶§ÀÎµ¥ ¿µ¾çÀÌ ºÎÁ·ÇØ.
15	7	2	¿µ¾çÀÌ ºÎÁ·ÇØ£¡
15	7	2	Á»´õ ÁÁ¾ÆÇÏ´Â °É ¸Ô°í ½Í¾î
15	7	2	ÁÁ¾ÆÇÏ´Â °ÍÀ» ¸Ô°í ½Í¾î~
15	7	4	¸Ô°í ½ÍÀº °É ¾ÈÁÖ¸é ¼ºÀåÇÒ ¼ö ¾ø¾î.
15	7	4	½½½½ ¶§°¡ µÆ´Âµ¥, ¼ºÀåÇÒ ¼ö ¾ø¾î.
15	7	4	¼ºÀåÇÏ±â À§ÇØ¼± ÁÁ¾ÆÇÏ´Â °ÍÀÌ ÇÊ¿äÇØ£¡
15	7	4	ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ Áà£¡
15	7	6	¾ËÀ» ³º±â À§ÇØ¼­ ¸Ô¾î¾ß ÇÒ ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ.
15	7	6	ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ¼­ ¾ËÀ» ³ºÀ» ¼ö ¾ø¾î.
15	7	6	¾ËÀ» ³º±â À§ÇØ¼± ÁÁ¾ÆÇÏ´Â °ÍÀ» ´õ ¸Ô¾î¾ß µÅ.
15	7	6	ÁÁ¾ÆÇÏ´Â °ÍÀÌ ºÎÁ·ÇØ.

